Co_Code,Co_Name,_Operating_Expense_Rate,_Research_and_development_expense_rate,_Cash_flow_rate,_Interest_bearing_debt_interest_rate,_Tax_rate_A,_Cash_Flow_Per_Share,_Per_Share_Net_profit_before_tax_Yuan_,_Realized_Sales_Gross_Profit_Growth_Rate,_Operating_Profit_Growth_Rate,_Continuous_Net_Profit_Growth_Rate,_Total_Asset_Growth_Rate,_Net_Value_Growth_Rate,_Total_Asset_Return_Growth_Rate_Ratio,_Cash_Reinvestment_perc,_Current_Ratio,_Quick_Ratio,_Interest_Expense_Ratio,_Total_debt_to_Total_net_worth,_Long_term_fund_suitability_ratio_A,_Net_profit_before_tax_to_Paid_in_capital,_Total_Asset_Turnover,_Accounts_Receivable_Turnover,_Average_Collection_Days,_Inventory_Turnover_Rate_times,_Fixed_Assets_Turnover_Frequency,_Net_Worth_Turnover_Rate_times,_Operating_profit_per_person,_Allocation_rate_per_person,_Quick_Assets_to_Total_Assets,_Cash_to_Total_Assets,_Quick_Assets_to_Current_Liability,_Cash_to_Current_Liability,_Operating_Funds_to_Liability,_Inventory_to_Working_Capital,_Inventory_to_Current_Liability,_Long_term_Liability_to_Current_Assets,_Retained_Earnings_to_Total_Assets,_Total_income_to_Total_expense,_Total_expense_to_Assets,_Current_Asset_Turnover_Rate,_Quick_Asset_Turnover_Rate,_Cash_Turnover_Rate,_Fixed_Assets_to_Assets,_Cash_Flow_to_Total_Assets,_Cash_Flow_to_Liability,_CFO_to_Assets,_Cash_Flow_to_Equity,_Current_Liability_to_Current_Assets,_Liability_Assets_Flag,_Total_assets_to_GNP_price,_No_credit_Interval,_Degree_of_Financial_Leverage_DFL,_Interest_Coverage_Ratio_Interest_expense_to_EBIT,_Net_Income_Flag,_Equity_to_Liability,Default
16974,Hind.Cables,8820000000,0,0.462045075,0.000352035,0.001417147,0.322557827,0.194471643,0.022074133,0.848021065,0.217590395,7500000000,0.000441218,0.263901905,0.369136768,0.008324467,0.000254527,0.631512924,0.026006073,0.005766944,0.192858759,0.053973013,0.014003835,0.000451718,707000000,0.000304869,0.02983871,0.611689017,0.13949366,0.176437639,0.025625562,0.001509387,0.000676239,0.342391123,0.278433848,0.017944511,0.00306419,0.937630313,0.002687011,0.007059242,0.000731942,0.000142041,5470000000,0.094269738,0.632665988,0.458072673,0.576869319,0.310900603,0.034913465,0,0.028800595,0.620927233,0.0269302,0.565744293,1,0.015337823,0
21214,Tata Tele. Mah.,9380000000,4230000000,0.460115917,0.000716072,0,0.315519559,0.161632899,0.021902022,0.839645289,0.217359818,6750000000,0.000403288,0.263713857,0.37267613,0.006938512,0.004787352,0.628055438,0.006812026,0.005230461,0.160681698,0.056971514,0.000306372,0.020644957,0.000278202,8850000000,0.018387097,0.386626264,0.022804742,0.402040088,0.004529484,0.006584496,0.000216355,0.337475735,0.277221033,0.00127057,0.004813246,0.92625076,0.002043933,0.015440696,0.000300807,0.000298559,882000000,0.351894542,0.642967042,0.459282055,0.55152318,0.314572393,0.041652748,0,0.006190921,0.622513412,0.026297476,0.560740561,1,0.029444909,1
14852,ABG Shipyard,3800000000,815000000,0.449893058,0.00049605,0,0.299851454,0.172554041,0.022186493,0.848196489,0.217573146,9680000000,0.000451574,0.264094614,0.348859953,0.008668928,0.005912136,0.631687922,0.004104542,0.005139082,0.171548149,0.154422789,0.001044911,0.006048237,0.000169864,0.00014903,0.02983871,0.393263382,0.012358345,0.318920592,0.008241543,0.006090393,0.00045779,0.306992828,0.277473023,0.007011756,0,0.93315478,0.002324166,0.009770697,0.000127161,941000000,679000000,0.463276072,0.644485668,0.459700257,0.463045085,0.314776836,0.033560129,0,0.001094543,0.62374948,0.027276372,0.566743977,1,0.041718317,0
2439,GTL,6440000000,0,0.462731184,0.000592059,0.009312683,0.319834477,0.174738269,0.027637697,0.848390958,0.21766244,7520000000,0.000448181,0.26476599,0.379875936,0.017749711,0.001738019,0.632587567,0.007846141,0.011960026,0.172158962,0.101949025,0.005411218,0.001169001,1340000000,0.001826942,0.028387097,0.439779743,0.009048551,0.137092399,0.053510183,0.002437173,0.002792591,0.343499741,0.277630169,0.039872089,0.004471604,0.928037417,0.002333806,0.013607109,0.000401223,5310000000,6020000000,0.0264327,0.656831595,0.461860245,0.577212195,0.316974404,0.016527162,0,0.003748761,0.622962701,0.026987988,0.565949567,1,0.02695599,0
23505,Bharati Defence,3680000000,0,0.463117016,0.000782078,0.40024294,0.325104336,0.176545906,0.022072095,0.847986749,0.217589117,7120000000,0.000454494,0.2639664,0.38960918,0.008427431,0.003967001,0.632682429,0.013670561,0.005822005,0.175597617,0.163418291,0.00081361,0.007775695,0.000134133,0.000829878,0.052258065,0.39276588,0.002069073,0.739193107,0.082328432,0.007270916,0.002375847,0.345795846,0.277235295,0.003341549,0,0.934421037,0.002310273,0.01049254,0.000207952,0.000189202,5670000000,0.103302506,0.656549332,0.461237791,0.594037614,0.317729099,0.034497326,0,0.006594729,0.624418719,0.027497703,0.567177433,1,0.019900264,0
2484,Usha Ispat,9490000000,0,0.461561947,0.000616062,0.239295475,0.318242909,0.178278226,0.022092591,0.848009218,0.217601073,664000000,0.000464551,0.26400603,0.377370441,0.006169716,0.003557762,0.632449213,0.013862975,0.005595142,0.177332026,0.208395802,0.001509541,0.00418757,0.000111205,0.000714134,0.066935484,0.394710658,0.005569066,0.422286586,0.06023055,0.004512941,0.001899948,0.34113032,0.280825187,0.004633869,0.003345377,0.938031637,0.002281366,0.026329064,0.000100934,7810000000,3180000000,0.148192296,0.605009541,0.45383816,0.567350937,0.305686743,0.046632951,0,0.001321988,0.623553288,0.027515445,0.567207516,1,0.019767359,0
23633,Hanung Toys,0.000153218,1260000000,0.462040043,0.000272027,0.16337686,0.319374691,0.192438051,0.022094756,0.848021006,0.217596328,998000000,0.000503604,0.264031673,0.374045304,0.006685159,0.0043307,0.630956425,0.013114291,0.005237774,0.190950909,0.20089955,0.00114433,0.005526499,0.000178462,0.000359336,0.058387097,0.394461907,0.008455083,0.26200338,0.009252537,0.004454475,0.000459727,0.34179606,0.278560083,0.006114195,0.018234999,0.940367861,0.002341685,0.032164006,8080000000,567000000,590000000,0.345964915,0.628615329,0.457176621,0.571036885,0.311322967,0.043172996,0,0.001674555,0.623643996,0.02686649,0.5654937,1,0.02030611,0
3226,K S Oils,0.000119915,0,0.461597175,0.000326033,0.087458245,0.319339322,0.173759132,0.022068523,0.848011877,0.217592054,6770000000,0.00049784,0.263974948,0.377221415,0.007036484,0.000179042,0.636244367,0.021441013,0.005523007,0.172641581,0.022488756,0.003877329,0.001630966,32500000,9910000000,0.017741935,0.460098143,0.18340296,0.058487127,0.014072529,0.000420645,0.000362393,0.341254657,0.280050798,0.017431447,0.001364099,0.936695887,0.002313766,0.005191666,0.001452593,0.000112795,6770000000,0.11764985,0.647358735,0.459821477,0.568636702,0.315943544,0.041091484,0,0.020705895,0.617829727,0.027219218,0.566611054,1,0.016418345,0
1541,Quadrant Tele.,9070000000,238000000,0.457119851,0.000212021,0.106387286,0.309294758,0.176771861,0.02211835,0.848035028,0.217598213,0.00010207,0.000507223,0.263821868,0.365187586,0.011686703,0.007670742,0.631810866,0.015214437,0.005272201,0.175295981,0.131934033,0.001166648,0.005420614,9530000000,0.000180803,0.044354839,0.403021189,0.029951047,0.359687241,0.117597808,0.008105762,0.007677584,0.335266717,0.277298902,0.009597019,0.022164818,0.933959476,0.002300098,0.018282006,0.000177222,0.000129207,0.000115126,0.373475,0.630491655,0.457553273,0.532495116,0.311483561,0.025038023,0,0.001516125,0.624009426,0.027180391,0.566514758,1,0.018927844,0
2334,ITI,0.000154259,0,0.457804283,0.000782078,0.112562,0.296668317,0.177299089,0.022077088,0.848012136,0.217579235,8190000000,0.000520848,0.263859944,0.344463694,0.008919161,0.000323149,0.635726223,0.015261857,0.006144445,0.175303522,0.04047976,0.001345196,0.004699915,497000000,0.000304112,0.020806452,0.42989756,0.037829248,0.115129088,0.02130785,0.001014397,0.000594251,0.330096147,0.278325942,0.020757085,0.000372095,0.937232959,0.002348472,0.00894496,0.001042405,0.000131822,6370000000,0.076929216,0.64595283,0.459692376,0.501597431,0.315317137,0.032641885,0,0.006981486,0.621415391,0.027005519,0.566008148,1,0.018901232,0
430,Parasram. Synth,0.000151253,5980000000,0.465494074,0.00019902,0.189695313,0.320329631,0.17722377,0.022082604,0.848039946,0.217593189,0.000195956,0.001136722,0.26395319,0.37900041,0.047457574,0.043711252,0.630660539,0.001208291,0.008006008,0.172980921,0.076461769,0.000878537,0.007200161,9520000000,0.000354797,0.019193548,0.401268628,0.009937976,0.827791973,0.798701978,0.044134678,0.12275452,0.351401425,0.277016562,0.008917784,0.00023638,0.934588275,0.00237225,0.010447821,0.000662996,0.000648841,0.001629089,0.076658187,0.970411078,0.680739212,0.577651112,0.349271704,0.006058359,0,0.001577266,0.626197799,0.026803373,0.56521598,1,0.109622855,0
4169,Electrotherm(I),0.000478273,5690000000,0.454435805,0.000311031,0,0.309365495,0.143255253,0.022208001,0.848067356,0.217603612,6610000000,0.000235245,0.265253203,0.328517939,0.003988755,0.003233989,0.630529034,0.094974421,0.005328013,0.142251716,0.133433283,0.000683757,0.00923588,0.00592613,0.000421369,0.053387097,0.38072409,0.001539591,0.465066354,0.028509584,0.004071237,0.00074065,0.32551567,0.276960359,0.000145454,0.013659963,0.816213466,0.00189519,0.07262913,0.000130891,0.000141159,2360000000,0.132290497,0.59707404,0.454912063,0.433371691,0.266153377,0.070482081,0,8140000000,0.623637813,0.026764453,0.565027767,1,0.011635087,1
5926,ICSA (India),0.000271746,6160000000,0.461223086,0.000252025,0,0.317323336,0.149506666,0.022505351,0.848096189,0.217613783,5190000000,0.000367104,0.26472636,0.375628702,0.003967538,0.001874641,0.630478692,0.010733273,0.004967836,0.148495589,0.110944528,0.001767218,0.003577025,7700000000,0.000100614,0.032258065,0.389204224,0.005142374,0.162988937,0.040496871,0.001977335,0.001475397,0.34022585,0.276433001,0.005494443,0,0.898524342,0.002033012,0.057436865,9680000000,4910000000,3610000000,0.519941209,0.650469,0.460478149,0.562388176,0.316092802,0.070834623,0,0.000256449,0.623344598,0.026751319,0.564960999,1,0.022513157,0
3367,SpiceJet,0.000149518,0,0.470476334,0.000539054,0.785403381,0.323335927,0.171876177,0.022078305,0.848052757,0.217630501,5890000000,0.000439247,0.265007654,0.387429678,0.006992802,0.00625712,0.633122491,0.002661888,0.005031907,0.170748812,0.071964018,0.00054173,0.01169343,0.000344314,5450000000,0.019193548,0.394586283,0.017490817,0.239283412,0.026310281,0.006512619,0.002063846,0.366140657,0.277268222,0.001596149,0.00015913,0.92077805,0.002238992,0.02500156,0.000130791,0.000130111,3860000000,0.696522293,0.647441575,0.460943372,0.6214101,0.315110884,0.041340592,0,0.000779674,0.623860612,0.027176775,0.566505527,1,0.057954228,0
